mse_mass,mse_mom,mse_energy,L_pde,K_mom,K_energy,K_mass,L_keeper,L_phys,seam_raw,seam_x_lam,int_Rmom,locals_over_dpi,window,seg,cand,t_lo_s,t_hi_s
0.0001850831031333655,0.2260637879371643,0.0034322887659072876,0.05860225757351145,3.966606527683325e-06,1.7731202888171538e-06,1.959518158400897e-06,0.00015398489949802752,0.05875624247300948,4.794180163969486e-09,4.794180163969486e-05,-0.5947520136833191,0.5965284109115601,QS-контроль ~1000 s,23,net,977.4241832438146,1019.9208868631107
5.237476230490756e-09,0.35496675968170166,0.0062125688418745995,0.09184798481631518,4.703882616752253e-09,1.9215880456613377e-05,8.544892224349177e-12,0.00038441185768244707,0.09223239667399763,0.00024489520001225173,2.4489520001225173,-0.5920273065567017,0.5969744324684143,QS-контроль ~1000 s,23,truth,977.4241832438146,1019.9208868631107
0.00010166340507566929,0.2743092477321625,0.002718872856348753,0.07014007517136633,2.5769943476916524e-06,2.5385986646142555e-07,2.7944088287767954e-06,0.00011250526085859747,0.07025258043222493,2.189586734147042e-09,2.189586734147042e-05,-0.6559310555458069,0.6575320959091187,onset ~1627 s,76,net,1626.7738145466637,1630.1735508362074
1.0816605936270207e-05,0.4276347756385803,0.007637222297489643,0.11074893827026244,5.174811121833045e-07,1.077642446034588e-05,1.0496039067220408e-05,0.00043579889279499184,0.11118473716305743,0.008899377658963203,88.99377658963203,-0.6501824259757996,0.655780553817749,onset ~1627 s,76,truth,1626.7738145466637,1630.1735508362074
8.434294431935996e-05,0.27797064185142517,0.00250982865691185,0.07091626067995094,1.3748814353675698e-06,3.195356725882448e-07,2.044316488536424e-06,7.477467192984477e-05,0.07099103535188078,1.3553252964371154e-09,1.3553252964371154e-05,-0.6585721969604492,0.6596859693527222,DWO развитой ~1697 s,96,net,1694.7685403375388,1698.1682766270824
0.039887793362140656,0.4311656951904297,0.3435661792755127,0.3593501001596451,6.811090861447155e-05,0.013193352147936821,0.004609568044543266,0.3574206220218912,0.7167707221815363,0.15254193544387817,1525.4193544387817,-0.6512752771377563,0.6589764356613159,DWO развитой ~1697 s,96,truth,1694.7685403375388,1698.1682766270824
7.253462536027655e-05,0.2768295109272003,0.002331741154193878,0.07051831755961757,1.3747223874815973e-06,7.232074494822882e-07,2.3841332676965976e-06,8.964126209320966e-05,0.07060795882171078,4.104550921368855e-09,4.104550921368855e-05,-0.6605609655380249,0.6616514325141907,DWO поздний ~1777 s,120,net,1776.3622112865887,1779.7619475761326
0.07596199214458466,0.44130420684814453,0.3826921880245209,0.4535961300134659,5.465907815960236e-05,0.01537417434155941,0.005524732172489166,0.4190713118441636,0.8726674418576295,0.14730995893478394,1473.0995893478394,-0.6588184833526611,0.6647810935974121,DWO поздний ~1777 s,120,truth,1776.3622112865887,1779.7619475761326
